Publisher Label,Publisher URI,Site reference,Site_name,Summary,Description 1,Description_2,Type 1,Type 2,Tags,Address_1,Address 2,Address 3,Postcode,Website 1,Website 2,Email,Phone,Category Attraction,Category - arts and culture,Category - food/drink producer,Category - nature/environment,Category - history/heritage,Category - ative lifestyles/sports,Category - open spaces,Category - shopping/retail,Category - family friendly,Category - venue for events,Venue_Description,All_Weather,Opening_Times,Accessibility,Pet friendly,Parking,Visit Time,UPRN,Easting,Northing,Latitude,Longitude,NSC_Map_Link,Google_Map_Link,Walk_Time_Bus,Nearest_Bus_Stop,Walk_Time_Train,Nearest_Train_Station,Directions,Nearest Bus Service,Image,Cost Free,Cost Details,Slug
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,122,Burrington Combe,"Fine example of a typical Mendip gorge for walking, caving and climbing",Burrington Combe is a Carboniferous Limestone gorge near the village of Burrington on the north side of the Mendip Hills Area of Outstanding Natural Beauty in North Somerset England. Combe or Coombe is a word of Celtic origin found in several forms on all of the British Isles denoting a steep sided valley or hollow. Burrington Combe is a gorge though the limestone hills although there is now no river running through it. Various cave entrances are exposed which have been occupied by humans for over 1000 years with a hillfort being built beside the combe in the Iron Age. The geology has led to a diversity of plant life. According to legend Augustus Montague Toplady was inspired to write the hymn Rock of Ages while sheltering under a rock in the combe although recent scholars have disputed this claim.,,Active and outdoors,,,Burrington Combe,,,,http://www.gps-routes.co.uk/routes/home.nsf/RoutesLinksWalks/burrington-combe-walking-route,http://www.mendiphillsaonb.org.uk/walks/,,,1,0,0,1,0,0,1,0,1,0,,Outdoors,,,,,,24142606,,,51.32775634,-2.752326977,,"https://www.google.co.uk/maps/place/@51.32775633665836,-2.7523269771047008,17z",Less than 15 minutes,134,Over 60 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/04/118-Burrington-Combe-2.jpg,,,Burrington-Combe
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,121,0,"Amateur dramatics society in  Weston super Mare in Somerset, which has been running for over 60 years.","We are an amateur dramatics society with members from many different backgrounds. We put on several shows every year, mainly at the Theatre in the Hut which is owned by the Wayfarers. Members do not get paid for the shows we put on, as all proceeds from ticket sales (after payment of royalties and licenses etc) go towards the upkeep and improvement of the theatre. What we do get is a tremendous amount of satisfaction and a great social life.",,Theatre,,"Weston, theatre, plays",Theatre In The Hut,Milton Road,Weston-Super-Mare,,http://www.wayfarersdrama.org.uk/home/4584795664,,wayfarersdrama@outlook.com,,0,1,0,0,0,0,0,0,1,1,,Indoors,,,,On-street parking,,24097988,,,51.35025724,-2.963092121,,"https://www.google.co.uk/maps/place/@51.35025723870193,-2.963092121311648,17z",Less than 15 minutes,7,15 - 30 minutes,Weston-super-Mare Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_96302903.jpg,,,Theatre-in-the-Hut
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,120,Aldwick Court Farm & Vineyard,Vineyard and Conference/Wedding venue,"Aldwick Estate, set in the Mendip countryside, is home to Somersets largest vineyard, producing award winning wines. Pre booked Tour & Tastings offer a guided tour of the vineyards and tasting of Aldwick wines. Aldwick Estate is set in the heart of North Somerset between Blagdon Lake and the A38, 4 miles south of Bristol Airport and 10 miles south of Bristol City Centre, overlooked by the beautiful Mendip Hills Area of Outstanding Natural Beauty.   Aldwick sits on 300 acres of working farm, in the same family for 5 generations, with just over 11 acres of vineyard and an award winning wedding & events venue that can host up to 200 guests.    Since their first release, wine production has grown year on year, with bottles being sold through the venue, online, in local stores, and with selected traders across the UK. Aldwick Wines have not only achieved national recognition but also won international awards for its still & sparkling wines.  For information on Tour & Tastings, please visit http://aldwickcourtfarm.co.uk or call the team who will be happy to help further",,Food and drink,,"drink, wine, events, wedding venues, wine tasting, vineyard, tours, mendip hills",Aldwick Court Farm,Aldwick Lane,Redhill,BS40 5RF,https://www.aldwickcourtfarm.co.uk/,,enquiries@aldwickcourtfarm.co.uk,01934 864404,0,0,1,0,0,0,0,0,0,1,Vineyard and Farm,Indoors,Cellar Door Sales Mon-Thurs 10am -5pm.  Vineyard Tour & Tastings - Pre-booking only,"Yes, subject to ground conditions",No,Yes,1-2 hours,24081654,,,51.3452908,-2.726683444,,"https://www.google.co.uk/maps/place/@51.34529079726325,-2.726683443608251,17z",15 - 30 minutes,A5,Over 60 minutes,Nailsea and Backwell Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2018/03/logo-2.png,,,Aldwick-Court-Farm---Vineyard
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,119,The Tropicana,"The Tropicana on Weston super Mare seafront offers facilities for live music, theatre, exhibitions and private hire functions.","The Tropicana Weston super Mare is a 1930s Art Deco building located on the thriving promenade. Following the world wide phenomena of Banksys Dismaland in 2015, the former seafront swimming pool has received a light refurbishment and now offers facilities for live music, theatre, exhibitions and private hire functions.  In addition to a comprehensive in house programme of music and theatre, the venue is also available for private hire and we want to make sure that your booking, whatever the size, runs smoothly and enjoys a high quality service.  We know your event is important to you and that makes it important to us.  Our customer focused team will make sure that your experience here is first class, whether youre looking for an event with 100 people or looking to utilise the entire 4,000 capacity, from your initial enquiry through to the end of your event we will put your needs at the centre of the service we provide.  Choose from our Tropicana bar area that can accommodate up to approx. 400 people, or take advantage of the large gallery room accommodating up to approx. 800 people. For those looking to organise a large scale event the outside area, enclosed by the four sea walls, can be used with a capacity of up to 3800. This area also includes a fully equipped first aid facility and toilet facilities.  If your event requires food in addition to drink then the Tropicana Bay Caf� may be able to offer you a package at competitive rates. In addition to hiring the event space we also have a basic stage, sound and lighting system at the venue. The specifications are available on request.",,Arts and Culture,Theatre,"Theatre,  Music, exhibitions Weston",Tropicana,Marine Parade,Weston-Super-Mare,BS23 1BE,http://tropicanaweston.co.uk/,,tropicana@n-somerset.gov.uk,01934�626�982,1,1,0,0,0,0,0,0,0,1,,Indoors,,,No,,,24099428,,,51.34046779,-2.982843765,,"https://www.google.co.uk/maps/place/@51.340467788699854,-2.9828437651251654,17z",Less than 15 minutes,20,15 - 30 minutes,Weston-super-Mare Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2018/02/25348310_1199235193509650_1744587077487372071_n.jpg,,,The-Tropicana
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,118,Yatton Library,Library,Library Yatton,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",48 High Street,,Yatton,BS49 4HJ,http://www.n-somerset.gov.uk/services/yatton-library/,,yatton.library@n-somerset.gov.uk,01934 426 100,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24098686,343177,165578,51.38638512,-2.817971015,,"https://www.google.co.uk/maps/place/@51.38638512165155,-2.8179710147361354,17z",Less than 15 minutes,X7,15 - 30 minutes,Yatton Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/yatton_lib.jpg,1,Free,Yatton-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,117,Worle Library,Library,Library Worle,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",The Maltings,Worle High St,Weston-Super-Mare,BS22 6JB,http://www.n-somerset.gov.uk/services/worle-library/,,worle.library@n-somerset.gov.uk,01934 426 090,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24026991,335579,162841,51.36096442,-2.926647707,,"https://www.google.co.uk/maps/place/@51.360964416393315,-2.9266477065161065,17z",Less than 15 minutes,7,15 - 30 minutes,Worle Parkway Railway Station,,,http://images.archant.co.uk/polopoly_fs/1.5123162.1501078771!/image/image.jpg_gen/derivatives/landscape_630/image.jpg,1,Free,Worle-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,116,Woodspring Priory,Woodspring Priory is a former Augustinian priory located near the scenic limestone promontory of Sand Point and Middle Hope. The site is a scheduled ancient monument that has significant local importance.,"The ancient site was founded to atone for martyrdom of Thomas a Becket. The Augustinian house (of the rare Victorine rule) is surrounded by a working farm and lies by the sea. 

The museum is open most Mondays and Fridays (except Bank Holidays) between 10.30am and 3.30pm. Please contact the Booking Office before your visit, to confirm that the museum is open.

The site is owned and maintained by The Landmark Trust.",,Historic structure/site,Heritage,Church; Historic Structures; Heritage,Woodspring Priory,Woodspring,Kewstoke,BS22 9YU,http://www.landmarktrust.org.uk/news-and-events/visiting-landmarks/visiting-woodspring-priory/,,,,1,0,0,1,1,0,1,0,1,0,,indoors and outdoors,special dates only - see website,some restrictions - check website,check website for more details,Limited onsite parking available,up to 4 hours,24083870,334357,166168,51.39073598,-2.944812341,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=334357&y=166168,"https://www.google.co.uk/maps/place/@51.39073598082859,-2.9448123411352256,17z",30 - 60 minutes,1,Over 60 minutes,Worle Parkway Railway Station,,,https://c1.staticflickr.com/9/8761/18158910555_9e7136692c.jpg,1,charges may apply for museum entry - check website for details,Woodspring-Priory
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,115,Winscombe Library,Library,Library Winscombe,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",23 Woodborough  Rd,,Winscombe,BS25 1AB,http://www.n-somerset.gov.uk/services/winscombe-library/,,winscombe.library@n-somerset.gov.uk,01934 426 050,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24048125,342054,157571,51.31428111,-2.832802383,,"https://www.google.co.uk/maps/place/@51.314281114754095,-2.832802383046679,17z",Less than 15 minutes,126,Over 60 minutes,Worle Parkway Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2017/01/north_somerset_logo.jpg,1,Free,Winscombe-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,114,Winnies Bakery,Multi award winning hand crafted bakery using locally milled flour and the best quality ingredients,"Producing quality bread, cakes, pastries, filled rolls and sandwiches. 

Produce is also sold at local farmers markets",,Food and Drink,Bakery,Bakery; Food and drink; Goods for sale; Shop,5,Meadow Street,Weston-Super-Mare,BS23 1QG,http://www.winnies-bakery.com,,winnie@winnies-bakery.com,01934 645 509,0,0,1,0,0,0,0,1,0,0,,indoors,not open to the public,accessible - check website for restrictions,no pets,public parking is available nearby,less than 15 minutes,24001807,331960,161433,51.34781099,-2.978333234,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331960&y=161433,"https://www.google.co.uk/maps/place/@51.34781099382333,-2.9783332344019464,17z",Less than 15 minutes,3,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://farm8.staticflickr.com/7799/17972718779_bf4495f303.jpg,1,,Winnie-s-Bakery
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,113,Whitegates Apple Juice,"Award winning apple juices for sale through farmers markets or by arrangement

Produce sold at Clevedon and Portishead Farmers Markets. Opening times by arrangement, please call for more details",More information about forthcoming events is available by contacting the supplier directly.,,Food and Drink,Drink producer,Drink; Food and drink; Goods for sale,Whitegates 143,Clevedon Road,Tickenham,BS21 6RF,,,,01275 851 667,0,0,1,0,0,0,0,0,0,0,,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,not open to the public,24054289,344602,171914,51.44349197,-2.798486863,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=344602&y=171914,"https://www.google.co.uk/maps/place/@51.443491970683496,-2.7984868628745967,17z",Less than 15 minutes,X7,Over 60 minutes,Nailsea and Backwell Railway Station,,,https://farm8.staticflickr.com/7733/18132448776_035c008ee3.jpg,0,,Whitegates-Apple-Juice
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,112,Weston super Mare Library,Library,Library Weston super Mare,"All libraries offer free WiFi and computer access.  Printing and photocopying services are also available at a cost.   You can search, renew and reserve books on the Libraries West website.",Arts and culture,Family friendly,"Books, culture, arts, learning, events",Town Hall,Walliscote Road,Weston-Super-Mare,BS23 1UJ,http://www.n-somerset.gov.uk/services/weston-super-mare-library/,,weston.library@n-somerset.gov.uk,01934 426 010,0,1,0,0,1,0,0,0,1,1,,indoors,Please see website for opening times,check website,No,Check website,Up to a whole day,24143513,332051.62,161191.2,51.34589167,-2.976655508,,"https://www.google.co.uk/maps/place/@51.34589166771041,-2.9766555084461914,17z",Less than 15 minutes,5,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://farm2.staticflickr.com/1653/24368704086_a75d5e8ac9.jpg,1,Free,Weston-super-Mare-Library
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,111,Weston super Mare beach,"One of the longest naturally occurring beaches in the UK, the golden sands of Weston super Mare beach is a great place to relax, play, walk or enjoy one of the many events taking place throughout the year",The beach is also home to many attractions including the iconic Grand Pier and Sea Life Centre.,,Attraction,Family friendly,Attraction; Beach; Family friendly; Outdoors and active,Beach,Marine Parade,Weston-Super-Mare,,http://thebeachguide.co.uk/south-west-england/somerset/weston-super-mare-town,http://www.weston-super-mare.com/beach-goldensands,,,1,0,0,1,1,1,1,0,1,1,,outdoors,open all year,some restrictions - sandy beach with access ramps,dog friendly,public parking is available nearby,up to a whole day,24130931,331685,161348,51.34708559,-2.982280837,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=331685&y=161348,"https://www.google.co.uk/maps/place/@51.34708559224273,-2.982280836863917,17z",Less than 15 minutes,5,Less than 15 minutes,Weston-super-Mare Railway Station,,,https://c1.staticflickr.com/9/8795/18132451276_c72e7aac89.jpg,1,,Weston-super-Mare-beach
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,110,Weston Woods Local Nature Reserve,"Woodland on ridge overlooking Weston, ancient woodland within the site known as Ashcombe Wood. Diverse wildlife and Iron Age hill fort, coastal views, recreational use, walks, horse riding, mountain biking.",,,Nature reserve,Walking,Landscape; Nature; Outdoors and active;  Picnic area; Walking; Cycling,Weston Woods,Upper Kewstoke Road,Weston-Super-Mare,,http://www.avonlocalnaturereserves.org.uk/reserve.asp?id=30,http://www.lnr.naturalengland.org.uk/Special/lnr/lnr_details.asp?C=0&N=&ID=1251,,,0,0,0,1,0,1,1,0,1,0,,outdoors,open all year,some steep gradients,dog friendly,onsite parking available,up to 4 hours,24137134,332440,162675,51.35910645,-2.971694184,http://map.n-somerset.gov.uk/MyNS.html?scale=2000&x=332440&y=162675,"https://www.google.co.uk/maps/place/@51.3591064536128,-2.971694184280994,17z",Less than 15 minutes,1,30 - 60 minutes,Weston-super-Mare Railway Station,,,http://discovernorthsomerset.co.uk/wp-content/uploads/2015/06/shutterstock_234065503.jpg,1,,Weston-Woods-Local-Nature-Reserve
